case_id,text,outcome
1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理,1
2,这个政策解释不清楚，居民不知道应该如何申请,0
3,我们愿意配合街道办开展社区宣传活动,1
4,出台新规表述模糊，普通居民看不懂具体执行要求,0
5,多次投诉邻里噪音扰民，始终没有得到有效管控,0
6,咨询社保办理流程，客服耐心细致给出完整指引,1
7,希望社区增设便民驿站，方便日常生活办事,0
8,社区组织普法宣讲，我们都会抽空到场学习参与,1
9,垃圾分类点位设置不合理，日常投放十分不便,0
10,反映路灯故障问题，隔天就完成检修恢复照明,1
11,乐意配合入户信息登记，如实上报个人居住情况,1
12,补贴申领条件划分不清，不清楚自己是否符合资格,0
13,街边占道摆摊现象频发，相关部门没有及时管控,0
14,申请改造老旧管线，审批流程高效顺利办结完成,1
15,主动报名志愿巡逻队，协助维护小区治安秩序,1
16,停车区域规划混乱，车辆乱停乱放问题难以解决,0
17,询问子女入学政策，工作人员清晰解答各项疑问,1
18,期盼优化公共交通线路，缩减居民日常出行时间,0
19,配合完成消防安全排查，自觉整改家中安全隐患,1
20,物业收费标准不透明，各项开支明细无从查询,0
21,上报绿化植被枯死情况，不久后就完成补种养护,1
22,想要申请养老帮扶，不清楚递交材料具体渠道,0
23,积极参与邻里互助活动，互帮互助营造和睦氛围,1
24,汛期排水设施性能不足，雨天容易出现内涝积水,0
25,反映商铺油烟扰民，执法人员上门协调妥善处理,1
26,自愿参与文明宣传活动，向街坊讲解文明规范,1
27,电梯频繁出现故障停运，日常出行存在安全隐患,0
28,办理户籍相关业务，窗口办事效率高态度亲和,1
29,建议完善小区监控设备，提升整体居住安全系数,0
30,配合社区开展反诈宣传，提醒家人提防诈骗陷阱,1
31,老旧房屋墙体渗水，提交诉求后迟迟未有回应,0
32,咨询水电过户手续，一次性告知全部所需材料,1
33,愿意协同社区规划休闲场地，丰富业余休闲生活,1
34,校外托管机构监管松散，家长对此心存顾虑担忧,0
35,投诉乱贴小广告乱象，很快开展清理整治行动,1
36,公共座椅数量偏少，居民休憩落座十分不方便,0
37,主动配合核酸信息核验，遵守社区各项防疫规定,1
38,医保报销比例调整，新规细则没能清晰公示说明,0
39,反映高空抛物不良行为，社区迅速出台约束举措,1
40,希望拓宽人行道路面，缓解日常行人通行压力,0
41,参与社区议事座谈会，共同商讨家园建设方案,1
42,宠物粪便随意丢弃，缺乏对应的约束管理办法,0
43,报修家用供气异常，维修人员快速上门排查修复,1
44,图书馆开放时长较短，难以满足居民借阅需求,0
45,配合统计社区人口数据，认真核对上报相关信息,1
46,外卖车辆肆意穿行小区，扰乱内部通行正常秩序,0
47,提出优化公交线路建议，后续得到采纳并调整,1
48,打算参与文体社团活动，丰富自身日常精神生活,1
49,墙体广告肆意涂鸦，小区整体市容观感变差,0
50,咨询退役军人优待政策，得到全面详实的答复讲解,1