,case_id,text,outcome,dissatisfaction,policy_demand,coproduction_request
0,1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理。,1,0.5686,0.7641,0.7308
1,2,这个政策解释不清楚，居民不知道应该如何申请。,0,0.5378,0.8295,0.5214
2,3,我们愿意配合街道办开展社区宣传活动。,1,0.5359,0.6521,0.8955
3,4,小区垃圾桶长期满溢无人清理，夏天异味严重影响生活。,0,0.3532,0.2101,0.2499
4,5,希望社区能增加夜间照明设施，保障居民夜间出行安全。,0,0.1297,0.5285,0.5779
5,6,我愿意参与社区组织的文明养犬宣传活动，为小区环境出一份力。,1,0.3867,0.55,0.6753
6,7,反映的电梯故障问题已处理完毕，维修师傅态度很负责。,1,0.1843,0.3477,0.3966
7,8,楼下餐馆深夜噪音扰民，多次投诉仍未得到有效管控。,0,0.5815,0.3023,0.2415
8,9,建议在小区增设便民服务点，方便老人日常买菜和取快递。,0,0.4097,0.7257,0.6255
9,10,社区通知的垃圾分类新规表述不清，居民不知道如何执行。,0,0.4831,0.7463,0.4718
10,11,我愿意配合街道办开展人口普查工作，如实填报相关信息。,1,0.5242,0.7434,0.8426
11,12,物业对业主的维修请求回应缓慢，导致家里漏水问题持续一周。,0,0.4378,0.5312,0.3277
12,13,希望政府能优化老旧小区的停车规划，缓解停车难问题。,0,0.2907,0.8058,0.6384
13,14,社区组织的反诈宣讲会我每次都参加，学到了很多实用知识。,1,0.5095,0.3034,0.615
14,15,反映的路灯故障隔天就修好了，工作人员效率很高。,1,0.1014,0.4504,0.5779
15,16,楼道堆放杂物存在消防隐患，多次提醒物业仍未清理。,0,0.3029,0.3034,0.3145
16,17,建议社区增设老年活动中心，丰富退休老人的业余生活。,0,0.3689,0.618,0.4869
17,18,我愿意参与小区的绿化维护志愿活动，定期修剪花草树木。,1,0.1067,0.5433,0.715
18,19,自来水水质浑浊，向水务部门反映后很快就上门检测处理了。,1,0.042,0.2905,0.426
19,20,小区健身器材损坏严重，一直没有维修，存在安全隐患。,0,0,0,0
20,21,希望出台更明确的宠物管理规定，规范养犬行为。,0,0.0045,0.631,0.4008
21,22,社区组织的亲子环保活动很有意义，我们全家都报名参加了。,1,0.2154,0.3947,0.6786
22,23,投诉的广场舞噪音问题得到了妥善解决，音量已调低至合理范围。,1,0.28,0.5937,0.494
23,24,快递驿站设在小区出入口，高峰时段严重堵塞消防通道。,0,0.0867,0.0042,0.3103
24,25,建议社区建立独居老人定期探访机制，保障老人安全。,0,0.3304,0.6324,0.6219
25,26,我愿意参与社区的文明劝导志愿队，维护小区公共秩序。,1,0.6214,0.8472,1
26,27,申请办理居住证的流程复杂，工作人员耐心给了详细指引。,1,0.7485,0.6635,0.6892
27,28,小区围墙破损未及时修缮，存在安全隐患，已多次反映。,0,0.3789,0.2985,0.2085
28,29,希望政府能增加社区医疗点的医护人员，缓解看病难问题。,0,0.6249,0.8391,0.7955
29,30,社区组织的消防演练让居民掌握了逃生技巧，非常实用。,1,0.1872,0.1524,0.5632
30,31,反映的下水道堵塞问题，物业当天就安排了疏通处理。,1,0.2793,0.5764,0.4108
31,32,小区楼下工地夜间施工噪音扰民，严重影响居民休息。,0,0.5271,0.397,0.3617
32,33,建议在小区增设无障碍通道，方便行动不便的居民出行。,0,0.385,0.6738,0.6683
33,34,我愿意参与社区的疫情防控志愿工作，协助体温检测和登记。,1,0.5591,0.4788,0.7569
34,35,申请的低保补助已按时发放，社区工作人员服务很周到。,1,0.3827,0.5171,0.8375
35,36,小区监控多处损坏，发生物品丢失后无法调阅录像。,0,0.1458,0.264,0.2551
36,37,希望社区能定期开展消防安全检查，消除楼道安全隐患。,0,0.1938,0.4632,0.6326
37,38,社区组织的垃圾分类督导活动，让小区环境变得干净整洁。,1,0.143,0.5974,0.6584
38,39,反映的电梯停运问题，物业当天就联系了维修人员处理。,1,0.324,0.3585,0.3114
39,40,小区周边缺少公立幼儿园，孩子入园难问题突出。,0,0.485,0.4084,0.3758
40,41,建议政府优化公交线路，方便居民前往市区和地铁站。,0,0.261,0.8485,0.7553
41,42,我愿意参与社区的图书漂流活动，捐赠闲置书籍供大家阅读。,1,0.2895,0.3099,0.5931
42,43,反映的小区垃圾中转站异味问题，环保部门已上门检测整改。,1,0.3211,0.6718,0.4862
43,44,小区楼道灯长期不亮，晚上出行很不安全，已多次反映。,0,0.4316,0.286,0.3341
44,45,希望社区能开设免费的电脑基础培训班，帮助老人学习使用智能手机。,0,0.2209,0.2651,0.5262
45,46,社区组织的邻里节活动增进了居民感情，氛围很温馨。,1,0.6328,0.3074,0.6686
46,47,投诉的小区内私搭乱建问题，城管部门已上门责令拆除。,1,0.6192,0.5778,0.4402
47,48,小区停车位被外来车辆长期占用，业主停车难问题严重。,0,0.524,0.3565,0.282
48,49,建议在小区增设共享雨伞点，方便居民雨天出行。,0,0.2012,0.4793,0.5646
49,50,我愿意参与社区的文明养犬劝导工作，宣传文明养犬知识。,1,0.3045,0.4142,0.6437
50,51,反映的自来水水压不足问题，水务部门很快就上门检修解决了。,1,0.1029,0.5391,0.5008
51,52,小区物业收费不透明，公示的账目不清，业主意见很大。,0,0.6437,0.437,0.3332
52,53,希望政府能加强对小区周边餐饮油烟的治理，改善空气质量。,0,0.3451,0.8536,0.7625
53,54,社区组织的应急救护培训让居民掌握了急救技能，非常实用。,1,0.3261,0.2895,0.6252
54,55,反映的小区围墙倒塌问题，相关部门很快就安排了修缮工作。,1,0.1884,0.5216,0.4576
55,56,小区周边缺少菜市场，居民买菜不方便，希望能增设便民市场。,0,0.4622,0.4319,0.3953
56,57,建议社区建立居民意见反馈平台，方便大家反映问题和提建议。,0,0.9751,0.8912,0.7112
57,58,我愿意参与社区的环境整治志愿活动，清理小区内的垃圾和小广告。,1,0.5477,0.6803,0.8437
58,59,反映的小区噪音问题，城管部门多次上门劝导，现在情况有所改善。,1,0.4292,0.7754,0.5832
59,60,小区内的健身场地被广场舞长期占用，其他居民无法使用。,0,0.2456,0.2001,0.2409
60,61,希望社区能定期开展免费的健康体检活动，关注居民健康。,0,0.3097,0.4704,0.6623
61,62,社区组织的反诈宣传活动形式新颖，让居民提高了防范意识。,1,0.7848,0.6238,0.688
62,63,反映的小区下水道反味问题，物业当天就安排了疏通处理。,1,0.3318,0.5574,0.432
63,64,小区快递柜数量不足，经常出现快递无法投递的情况。,0,0.4276,0.1962,0.3544
64,65,建议政府优化老旧小区的供水管道，解决水压不足的问题。,0,0.2556,0.797,0.6835
65,66,我愿意参与社区的治安巡逻志愿工作，协助维护小区安全。,1,0.5397,0.6042,0.8814
66,67,反映的小区停车乱收费问题，物价部门已上门调查并规范收费标准。,1,0.2154,0.5641,0.4607
67,68,小区内的树木修剪不及时，树枝影响居民采光和出行。,0,0.1903,0.3981,0.3334
68,69,希望社区能增设儿童游乐设施，为孩子们提供安全的玩耍场所。,0,0.0884,0.4357,0.5331
69,70,社区组织的文明出行宣传活动，提高了居民的交通安全意识。,1,0.6181,0.6556,0.7094
70,71,反映的小区垃圾清运不及时问题，环卫部门已调整清运时间。,1,0.3603,0.7796,0.4522
71,72,小区周边的道路坑洼不平，雨天积水严重，影响居民出行。,0,0.4974,0.3535,0.3618
72,73,建议在小区增设充电桩，方便新能源车主充电。,0,0.1409,0.51,0.4792
73,74,我愿意参与社区的图书整理志愿工作，协助维护社区图书馆秩序。,1,0.2527,0.4457,0.7104
74,75,反映的小区电梯年检过期问题，市场监管部门已责令物业整改。,1,0.286,0.7107,0.3665
75,76,小区内的宠物粪便无人清理，影响小区环境和居民健康。,0,0.2682,0.405,0.298
76,77,希望社区能开设免费的书法绘画培训班，丰富居民的文化生活。,0,0.3081,0.2018,0.5563
77,78,社区组织的垃圾分类知识竞赛，让居民学习了很多分类技巧。,1,0.3342,0.4395,0.579
78,79,反映的小区噪音扰民问题，社区工作人员多次上门协调解决。,1,0.4734,0.5999,0.7157
79,80,小区内的消防通道被私家车占用，存在严重的安全隐患。,0,0.3485,0.3493,0.3692
80,81,建议政府加强对小区周边工地施工的监管，控制施工噪音和扬尘。,0,0.2691,0.9103,0.7292
81,82,我愿意参与社区的环保宣传志愿活动，向居民普及环保知识。,1,0.5356,0.7265,0.814
82,83,反映的小区供水管道破裂问题，水务部门很快就上门维修好了。,1,0.0062,0.3976,0.4346
83,84,小区内的路灯损坏严重，晚上小区漆黑一片，居民出行很不安全。,0,0.4385,0.2569,0.2893
84,85,希望社区能建立宠物粪便收集点，引导居民文明养犬。,0,0.195,0.3585,0.513
85,86,社区组织的亲子阅读活动，增进了亲子感情，也培养了孩子的阅读习惯。,1,0.5166,0.2688,0.5162
86,87,反映的小区物业不作为问题，街道办已介入调查并督促整改。,1,0.4,0.7706,0.6412
87,88,小区周边缺少银行网点，居民办理业务很不方便。,0,0.5373,0.2887,0.4095
88,89,建议在小区增设共享电动车停放点，方便居民短途出行。,0,0.3869,0.6554,0.5595
89,90,我愿意参与社区的消防宣传志愿工作，向居民普及消防安全知识。,1,0.5672,0.557,0.808
90,91,反映的小区垃圾分类执行不到位问题，社区已加强督导和宣传。,1,0.5012,0.7673,0.6871
91,92,小区内的健身器材损坏后长期未维修，居民无法正常使用。,0,0.2515,0.2544,0.1342
92,93,希望政府能优化老旧小区的供暖管道，解决冬季供暖不足的问题。,0,0.2601,0.6527,0.6475
93,94,社区组织的重阳节慰问活动，让社区老人感受到了温暖。,1,0.6599,0.4218,0.6053
94,95,反映的小区噪音问题，公安部门多次上门处理，现在情况已好转。,1,0.3492,0.674,0.5792
95,96,小区内的楼道卫生无人打扫，杂物堆积，环境脏乱差。,0,0.2568,0.3383,0.3798
96,97,建议社区增设便民理发点，为老人提供免费或低价理发服务。,0,0.2463,0.5102,0.4039
97,98,我愿意参与社区的文明交通劝导志愿工作，维护小区周边交通秩序。,1,0.5817,0.7525,0.8982
98,99,反映的小区供水水质问题，卫生部门已上门检测并出具了报告。,1,0.3827,0.5457,0.5474
99,100,小区内的监控盲区较多，居民的财产安全无法得到保障。,0,0.2974,0.4571,0.3781
100,101,希望社区能定期开展法律知识讲座，为居民普及法律常识。,0,0.377,0.563,0.7367
101,102,社区组织的植树节活动，让居民参与小区绿化建设，改善环境。,1,0.2349,0.6276,0.6812
102,103,反映的小区电梯故障问题，物业很快就联系了维修人员处理好了。,1,0.2055,0.3193,0.3567
103,104,小区周边的公交线路班次太少，居民出行不方便。,0,0.4931,0.4323,0.3296
104,105,建议在小区增设快递代收点，解决快递投递难题。,0,0.3967,0.6348,0.5291
105,106,我愿意参与社区的疫情防控宣传志愿工作，向居民普及防疫知识。,1,0.6886,0.6615,0.8402
106,107,反映的小区停车难问题，物业已新增部分停车位，情况有所缓解。,1,0.5064,0.6559,0.3934
107,108,小区内的树木病虫害严重，影响树木生长和小区环境。,0,0.1983,0.3133,0.2747
108,109,希望社区能开设免费的电脑维修服务，帮助居民解决电脑问题。,0,0.3499,0.5021,0.7204
109,110,社区组织的文明养犬宣传活动，提高了居民的文明养犬意识。,1,0.3572,0.4477,0.5505
110,111,反映的小区垃圾中转站异味问题，物业已加强清洁和消杀工作。,1,0.2941,0.569,0.5221
111,112,小区内的楼道灯损坏后长期未维修，晚上出行很不方便。,0,0.4005,0.303,0.2708
112,113,建议政府加强对小区周边餐饮油烟的治理，改善居民生活环境。,0,0.4397,1,0.7638
113,114,我愿意参与社区的环境整治志愿活动，清理小区内的小广告和垃圾。,1,0.5423,0.6742,0.8387
114,115,反映的小区噪音扰民问题，社区工作人员多次上门劝导，情况有所改善。,1,0.6556,0.8375,0.6668
115,116,小区内的健身场地被长期占用，其他居民无法正常使用。,0,0.2926,0.2432,0.1961
116,117,希望社区能定期开展免费的义诊活动，为居民提供健康检查。,0,0.5071,0.5384,0.7483
117,118,社区组织的反诈宣讲会，让居民学习了很多防范诈骗的技巧。,1,0.5679,0.3856,0.654
118,119,反映的小区下水道堵塞问题，物业当天就安排了疏通处理好了。,1,0.252,0.5965,0.4672
119,120,小区内的快递柜经常满柜，居民取件很不方便。,0,0.5983,0.2446,0.3846
120,121,建议在小区增设便民服务中心，为居民提供一站式服务。,0,0.4387,0.793,0.7419
121,122,我愿意参与社区的治安巡逻志愿工作，协助维护小区的安全秩序。,1,0.523,0.6436,0.8865
122,123,反映的小区停车乱收费问题，物价部门已上门调查并规范了收费标准。,1,0.2069,0.5706,0.4547
123,124,小区内的树木树枝影响居民采光，多次反映仍未修剪。,0,0.1739,0.3048,0.3602
124,125,希望社区能增设儿童托管服务，解决双职工家庭的带娃难题。,0,0.471,0.621,0.6742
125,126,社区组织的邻里互助活动，增进了居民之间的感情和信任。,1,0.7943,0.4453,0.8501
126,127,反映的小区电梯停运问题，物业很快就联系了维修人员处理好了。,1,0.1677,0.3413,0.3743
127,128,小区周边缺少大型超市，居民购物很不方便。,0,0.4468,0.1895,0.2956
128,129,建议政府优化老旧小区的排水系统，解决雨天积水问题。,0,0.1496,0.8056,0.6899
129,130,我愿意参与社区的图书漂流活动，捐赠闲置书籍供居民阅读交流。,1,0.3983,0.3829,0.6708
130,131,反映的小区垃圾清运不及时问题，环卫部门已调整了清运时间和频次。,1,0.3494,0.7707,0.4354
131,132,小区内的消防通道被私家车占用，存在严重的安全隐患。,0,0.3485,0.3493,0.3692
132,133,希望社区能建立居民议事会，让居民参与小区事务的决策和管理。,0,0.6214,0.7941,0.8473
133,134,社区组织的文明出行宣传活动，提高了居民的交通安全意识。,1,0.6181,0.6556,0.7094
134,135,反映的小区噪音问题，城管部门多次上门处理，现在情况已得到控制。,1,0.3074,0.5912,0.5685
135,136,小区内的健身器材数量不足，居民锻炼不方便。,0,0.5349,0.3421,0.2329
136,137,建议在小区增设充电桩，方便新能源车主充电使用。,0,0.1344,0.5059,0.4786
137,138,我愿意参与社区的环保宣传志愿工作，向居民普及垃圾分类知识。,1,0.5658,0.7599,0.8355
138,139,反映的小区供水水压不足问题，水务部门很快就上门检修解决了。,1,0.1316,0.5527,0.5364
139,140,小区内的物业工作人员服务态度差，多次沟通仍未改善。,0,0.9537,0.5017,0.4641
140,141,希望社区能开设免费的英语培训班，丰富居民的业余文化生活。,0,0.2404,0.2907,0.5939
141,142,社区组织的应急救护培训，让居民掌握了基本的急救技能。,1,0.4304,0.3347,0.5919
142,143,反映的小区围墙破损问题，相关部门很快就安排了修缮工作。,1,0.1881,0.5131,0.4198
143,144,小区周边的菜市场卫生条件差，影响居民的购物体验。,0,0.6442,0.4706,0.3549
144,145,建议政府加强对小区周边工地施工的监管，控制扬尘和噪音污染。,0,0.2413,0.9186,0.7104
145,146,我愿意参与社区的文明养犬劝导工作，宣传文明养犬的相关规定。,1,0.3392,0.5525,0.6846
146,147,反映的小区垃圾分类执行不到位问题，社区已加强督导和宣传工作。,1,0.5036,0.7406,0.7214
147,148,小区内的楼道杂物堆积，影响通行且存在安全隐患。,0,0.4444,0.4393,0.4273
148,149,希望社区能定期开展消防安全检查，消除小区内的安全隐患。,0,0.162,0.4536,0.6158
149,150,社区组织的亲子环保活动，让孩子们学习了环保知识，也增进了亲子感情。,1,0.5221,0.4656,0.5959
150,151,反映的小区电梯年检过期问题，市场监管部门已责令物业限期整改。,1,0.2508,0.6948,0.35
151,152,小区内的宠物粪便无人清理，影响小区的环境卫生。,0,0.1639,0.3762,0.2689
152,153,建议在小区增设共享雨伞点，方便居民雨天出行使用。,0,0.1943,0.4831,0.5604
153,154,我愿意参与社区的消防宣传志愿工作，向居民普及消防安全常识。,1,0.5708,0.5968,0.8227
154,155,反映的小区供水管道破裂问题，水务部门很快就上门维修好了。,1,0.0062,0.3976,0.4346
155,156,小区内的路灯损坏严重，晚上小区漆黑一片，居民出行不安全。,0,0.4254,0.2638,0.2974
156,157,希望社区能建立宠物管理规定，规范居民的养犬行为。,0,0.2171,0.6055,0.5641
157,158,社区组织的重阳节慰问活动，让社区的老人们感受到了温暖和关怀。,1,0.6601,0.4336,0.6013
158,159,反映的小区物业不作为问题，街道办已介入调查并督促物业整改。,1,0.3891,0.7745,0.6209
159,160,小区周边的公交线路班次不足，居民出行很不方便。,0,0.5988,0.4477,0.3296
160,161,建议在小区增设快递代收点，解决快递投递难的问题。,0,0.4223,0.6415,0.521
161,162,我愿意参与社区的疫情防控志愿工作，协助体温检测和信息登记。,1,0.5589,0.492,0.7491
162,163,反映的小区停车难问题，物业已新增部分停车位，情况有所缓解。,1,0.5064,0.6559,0.3934
163,164,小区内的树木病虫害严重，影响树木的生长和小区的环境美观。,0,0.219,0.3151,0.2985
164,165,希望社区能开设免费的电脑基础培训班，帮助老人学习使用智能手机。,0,0.2209,0.2651,0.5262
165,166,社区组织的垃圾分类知识竞赛，让居民学习了很多垃圾分类的技巧和知识。,1,0.3124,0.4213,0.5648
166,167,反映的小区噪音扰民问题，社区工作人员多次上门协调解决，情况已好转。,1,0.4553,0.708,0.7178
167,168,小区内的健身场地被广场舞长期占用，其他居民无法正常使用。,0,0.3057,0.2164,0.2551
168,169,建议政府优化老旧小区的供暖系统，解决冬季供暖温度不足的问题。,0,0.2943,0.7404,0.6139
169,170,我愿意参与社区的文明交通劝导志愿工作，维护小区周边的交通秩序。,1,0.5703,0.7559,0.8894
170,171,反映的小区供水水质问题，卫生部门已上门检测并出具了合格报告。,1,0.366,0.5446,0.5877
171,172,小区内的监控盲区较多，居民的财产安全无法得到有效保障。,0,0.3527,0.4683,0.383
172,173,希望社区能定期开展法律知识讲座，为居民普及相关的法律常识。,0,0.3917,0.5592,0.7322
173,174,社区组织的植树节活动，让居民参与到小区的绿化建设中，改善了小区环境。,1,0.1774,0.6187,0.6691
174,175,反映的小区电梯故障问题，物业很快就联系了专业的维修人员处理好了。,1,0.2335,0.3316,0.3841
175,176,小区周边缺少银行网点，居民办理金融业务很不方便。,0,0.4629,0.2435,0.3797
176,177,建议在小区增设共享电动车停放点，方便居民短途出行使用。,0,0.3755,0.6534,0.5544
177,178,我愿意参与社区的环境整治志愿活动，清理小区内的垃圾和乱贴的小广告。,1,0.5853,0.7071,0.8319
178,179,反映的小区垃圾中转站异味问题，物业已加强了清洁和消杀工作，异味有所减轻。,1,0.3107,0.5343,0.4816
179,180,小区内的楼道灯损坏后长期未维修，晚上居民出行很不方便。,0,0.466,0.3464,0.3244
180,181,希望社区能增设便民理发点，为小区内的老人提供免费或低价的理发服务。,0,0.252,0.4583,0.4348
181,182,社区组织的文明养犬宣传活动，提高了居民的文明养犬意识，小区环境也改善了。,1,0.3295,0.5386,0.5632
182,183,反映的小区噪音问题，公安部门多次上门处理，现在情况已得到了有效控制。,1,0.2812,0.5883,0.6298
183,184,小区内的消防通道被私家车占用，存在严重的消防安全隐患。,0,0.3401,0.3238,0.37
184,185,建议社区建立居民意见反馈平台，方便居民反映问题和提出建议。,0,1,0.9347,0.756
185,186,我愿意参与社区的治安巡逻志愿工作，协助维护小区的安全和秩序。,1,0.5392,0.6456,0.89
186,187,反映的小区停车乱收费问题，物价部门已上门调查并规范了收费标准，现在收费透明了。,1,0.1494,0.5344,0.4791
187,188,小区内的树木树枝影响居民的采光，多次向物业反映仍未得到修剪处理。,0,0.224,0.4261,0.3948
188,189,希望社区能开设免费的书法绘画培训班，丰富居民的业余文化生活。,0,0.2964,0.1936,0.5218
189,190,社区组织的邻里互助活动，增进了居民之间的感情，营造了和谐的社区氛围。,1,0.7026,0.42,0.8085
190,191,反映的小区电梯停运问题，物业当天就联系了维修人员处理好了，居民出行恢复正常。,1,0.2831,0.4319,0.4145
191,192,小区周边缺少大型的购物超市，居民购买生活用品很不方便。,0,0.4539,0.2327,0.285
192,193,建议在小区增设便民服务中心，为居民提供一站式的生活服务。,0,0.4608,0.8259,0.7201
193,194,我愿意参与社区的图书漂流活动，捐赠自己闲置的书籍，供其他居民阅读交流。,1,0.4577,0.4072,0.6923
194,195,反映的小区垃圾清运不及时问题，环卫部门已调整了清运的时间和频次，现在小区干净多了。,1,0.2325,0.7357,0.5238
195,196,小区内的健身器材损坏后长期未维修，居民无法正常使用，影响了日常锻炼。,0,0.3715,0.337,0.143
196,197,希望社区能定期开展免费的义诊活动，为居民提供健康检查和咨询服务。,0,0.5449,0.5292,0.7697
197,198,社区组织的反诈宣讲会，让居民学习了很多防范诈骗的技巧，提高了防骗意识。,1,0.5874,0.412,0.6639
198,199,反映的小区下水道堵塞问题，物业很快就安排了疏通处理，现在下水道通畅了。,1,0.0746,0.4697,0.5288
199,200,小区内的快递柜经常满柜，居民取件很不方便，希望能增加快递柜的数量。,0,0.5382,0.3115,0.3954
